tu_id	speaker	start	end	parent_tu_id	text
2285	PSB080_trad	3902.803	3903.451	2284	ourika
2287	PSB080_trad	3903.631	3904.328	2286	è tutto bello
2291	???_trad	3912.836	3914.057	2290	stanno sentendo
2295	???_trad	3918.648	3919.852	2294	voglio che ascolti? il vestito tipico berbero
2297	PSB079_trad	3919.721	3923.705	2296	sì ho visto si chiama lebsa shelḥawiya il vestito per i berberi
2306	PSB080_trad	3937.615	3938.795	2305	ne indossa tre
2321	PSB067_trad	3958.803	3960.689	2320	non erano quattro i dialetti berberi
2323	PSB067_trad	3960.820	3967.598	2322	tamazight tarifit e tashelḥit tamazight tarifit
2325	PSB079_trad	3967.598	3968.008	2324	basta tre
2503	PSB067_trad	4305.480	4307.306	2502	parli in arabo o in italiano?
2505	PSB067_trad	4308.094	4310.495	2504	e togli le tue mani che le hai tolte per lavarti la tua bocca
